"時間","default","セットプレー","選手名","攻撃","守備","反則","キーパーアクション"
="0:08:26:87",,,"森侑里","パス",,,
="0:08:29:90",,,"高嶺朋樹","パス",,,
="0:08:35:91",,,"角田涼太郎","パス",,,
="0:08:37:08",,,"高嶺朋樹","パス",,,
="0:08:38:45",,,"山原怜音","ドリブル",,,
="0:08:38:98",,,"山川哲史","パス",,,
="0:08:41:18",,,"知久航介","パス",,,
="0:08:44:05",,,"山原怜音","クロス",,,
="0:08:46:76",,,"三笘薫","ドリブル",,,
="0:08:51:23",,,"角田涼太郎","ドリブル",,,
="0:08:51:26",,,"三笘薫","パス",,,
="0:08:51:59","ポゼッションエンド",,,,,,
="0:08:51:59","筑波大学",,,,,,
="0:08:54:20","ポゼッションスタート",,,,,,
="0:08:54:20","相手チーム",,,,,,
="0:09:18:19",,,"山川哲史",,"ブロック",,
="0:09:20:52","ポゼッションエンド",,,,,,
="0:09:20:52","相手チーム",,,,,,
="0:09:23:09","相手チーム",,,,,"ファール",
="0:09:26:80","ポゼッションスタート",,,,,,
="0:09:26:80","筑波大学",,,,,,
="0:09:28:13",,"FK","高嶺朋樹",,,,
="0:09:32:70",,,"高嶺朋樹","パス",,,
="0:09:33:77",,,"角田涼太郎","パス",,,
="0:09:35:64",,,"山川哲史","パス",,,
="0:09:38:37",,,"高嶺朋樹","パス",,,
="0:09:44:21",,,"山原怜音","ドリブル",,,
="0:09:47:78",,,"井川空","パス",,,
="0:09:50:65",,,"山原怜音","パス",,,
="0:09:50:95",,,"高嶺朋樹","ドリブル",,,
="0:09:54:06",,,"知久航介","パス",,,
="0:09:57:33",,,"三笘薫","ドリブル",,,
="0:09:57:79",,,"高嶺朋樹","パス",,,
="0:09:59:66",,,"角田涼太郎","パス",,,
="0:10:02:63","ポゼッションエンド",,,,,,
="0:10:02:63","筑波大学",,,,,,
="0:10:06:03",,,"三笘薫","ボールロスト",,,
="0:10:26:35","相手チーム","GK",,,,,
="0:10:29:16",,,"知久航介",,"ブロック",,
="0:10:35:06",,,"和田育",,"カット",,
="0:10:38:93","ポゼッションスタート",,,,,,
="0:10:38:93","筑波大学",,,,,,
="0:10:39:50",,,"森海渡","パス",,,
="0:10:40:07",,,"井川空",,"インターセプト",,
="0:10:40:87",,,"和田育","ボールロスト",,,
="0:10:42:54",,,"知久航介","ドリブル",,,
="0:10:46:27",,,"井川空","パス",,,
="0:10:50:58",,,"知久航介","パス",,,
="0:10:52:45",,,"山原怜音","パス",,,
="0:10:53:95",,,"井川空","パス",,,
="0:10:55:08",,,"三笘薫",,,,
="0:10:55:18",,,"山原怜音","パス",,,
="0:10:56:15",,,"高嶺朋樹","パス",,,
="0:11:02:12",,,"三笘薫","クロス",,,
="0:11:03:39","ポゼッションエンド",,,,,,
="0:11:03:39","筑波大学",,,,,,
="0:11:05:43",,,"山原怜音","枠内シュート",,,
="0:11:17:84",,,"森侑里",,"インターセプト",,
="0:11:27:28","ポゼッションスタート",,,,,,
="0:11:27:28","相手チーム",,,,,,
="0:11:58:88","ポゼッションエンド",,,,,,
="0:11:58:88","相手チーム",,,,,,
="0:12:08:09",,"スローイン","角田涼太郎",,,,
