Player,: Kubota Kakeru,,,,,,,,,,,,,,,,,,,,,
Session,: 20190502 Top Kanto League 4sec vs Meiji Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,48:26.4,,,,,,,,,,,,,,,,,,,,,
End,02:50.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
48:29.1,00:02.7,0,1,0,1,0.606,61.932,31.243,35.89779354,139.9357967, T 13,0,0,0,0,0,0,0,0,,0,0.612
48:29.1,00:02.7,0,1,0,1,0.606,61.932,31.243,35.89779354,139.9357967, T 13,0,0,0,0,0,0,0,0,,0,0.612
48:29.2,00:02.8,0,1,0,1,0.606,61.663,31.029,35.89779354,139.9357967, T 13,0,0,0,0,0,0,0,0,,0,0.612
48:29.3,00:02.9,0,1,0,1,0.606,61.663,31.029,35.8977938,139.9357948, T 12,0,0,0,0,0,0,0,0,,0,0.306
48:29.3,00:02.9,0,1,0,1,0.606,61.663,31.029,35.8977938,139.9357948, T 12,0,0,0,0,0,0,0,0,,0,0.306
48:29.4,00:03.0,0,1,0,1,0.606,61.489,31.059,35.8977938,139.9357948, T 12,0,0,0,0,0,0,0,0,,0,0.306
48:29.5,00:03.1,0,1,0,1,0.606,61.489,31.059,35.89779401,139.9357924, T 12,0,0,0,0,0,0,0,0,,0,0.153
48:29.5,00:03.1,0,1,0,1,0.606,61.489,31.059,35.89779401,139.9357924, T 12,0,0,0,0,0,0,0,0,,0,0.153
48:29.6,00:03.2,0,1,0,1,0.606,61.272,31.082,35.89779401,139.9357924, T 12,0,0,0,0,0,0,0,0,,0,0.153
48:29.7,00:03.3,0,1,0,1,0.606,61.272,31.082,35.89779454,139.9357896, T 12,0,0,0,0,0,0,0,0,,0,0.076
48:29.7,00:03.3,0,1,0,1,0.606,61.272,31.082,35.89779454,139.9357896, T 12,0,0,0,0,1,0,0,0,,0,0.076
48:29.8,00:03.4,0,1,0,1,0.606,61.018,31.14,35.89779454,139.9357896, T 12,0,0,0,0,0,0,0,0,,0,0.076
48:29.9,00:03.5,0,1,0,1,0.606,61.018,31.14,35.89779555,139.9357871, T 12,0,0.1,0,0,0,0,0,0,,0,0.038
48:29.9,00:03.5,0,1,0,1,0.606,61.018,31.14,35.89779555,139.9357871, T 12,0,0.1,1,0,0,0,0,0,,0,0.038
48:30.0,00:03.6,0,1,0,1,0.606,60.797,31.252,35.89779555,139.9357871, T 12,0,0.1,0,0,0,0,0,0,,0,0.038
48:30.1,00:03.7,0,1,0,1,0.606,60.797,31.252,35.89779554,139.9357851, T 12,0,0.1,0,0,1,0,0,0,,0,0.019
48:30.1,00:03.7,0,1,0,1,0.606,60.797,31.252,35.89779554,139.9357851, T 12,0,0.1,0,0,0,0,0,0,,0,0.019
48:30.2,00:03.8,0,1,0,1,0.606,60.619,31.251,35.89779554,139.9357851, T 12,0,0.1,0,0,0,0,0,0,,0,0.019
48:30.3,00:03.9,0,1,0,1,0.606,60.619,31.251,35.89779484,139.9357852, T 12,0,0.1,0,0,0,0,0,0,,0,0.01
48:30.3,00:03.9,0,1,0,1,0.606,60.619,31.251,35.89779484,139.9357852, T 12,0,0.1,0,0,0,0,0,0,,0,0.01
48:30.4,00:04.0,0,1,0,1,0.606,60.629,31.174,35.89779484,139.9357852, T 12,0,0.1,0,0,0,0,0,0,,0,0.01
48:30.5,00:04.1,0,1,0,1,0.606,60.629,31.174,35.89779389,139.9357838, T 12,0,0.1,0,0,0,0,0,0,,0,0.005
48:30.5,00:04.1,0,1,0,1,0.606,60.629,31.174,35.89779389,139.9357838, T 12,0,0.1,0,0,0,0,0,0,,0,0.005
48:30.6,00:04.2,0,1,0,1,0.606,60.495,31.068,35.89779389,139.9357838, T 12,0,0.1,0,0,0,0,0,0,,0,0.005
48:30.7,00:04.3,0,1,0,1,0.606,60.495,31.068,35.89779336,139.9357839, T 12,0,0.1,0,0,0,0,0,0,,0,0.002
48:30.7,00:04.3,0,1,0,1,0.606,60.495,31.068,35.89779336,139.9357839, T 12,0,0.1,0,0,0,0,0,0,,0,0.002
48:30.8,00:04.4,0,1,0,1,0.606,60.507,31.01,35.89779336,139.9357839, T 12,0,0.1,0,0,0,0,0,0,,0,0.002
48:30.9,00:04.5,0,1,3.528,1,0.671,60.511,30.97,35.89779228,139.935784, T 12,4.922,0.1,0,0,0,0,0,0,,4.922,3.546
48:30.9,00:04.5,0,1,3.564,1,0.737,60.516,30.93,35.89779228,139.935784, T 12,4.922,0.1,0,0,0,0,0,0,,4.922,3.546
48:31.0,00:04.6,0,1,3.6,1,0.803,60.52,30.89,35.89779228,139.935784, T 12,4.922,0.1,0,0,0,0,0,0,,4.922,3.546
48:31.1,00:04.7,0,1,3.936,1,0.873,60.516,30.843,35.897791,139.9357839, T 12,0.775,0.1,0,0,0,0,0,0,,0.775,4.104
48:31.1,00:04.7,0,1,4.272,1,0.949,60.512,30.795,35.897791,139.9357839, T 12,0.775,0.1,0,0,0,0,0,0,,0.775,4.104
48:31.2,00:04.8,0,1,4.608,1,1.031,60.508,30.748,35.897791,139.9357839, T 12,0.775,0.1,0,0,0,0,0,0,,0.775,4.104
48:31.3,00:04.9,0,1,4.632,1,1.117,60.518,30.707,35.8977899,139.9357842, T 12,0.75,0.1,0,0,0,0,0,0,,0.75,4.644
48:31.3,00:04.9,0,1,4.656,1,1.203,60.528,30.666,35.8977899,139.9357842, T 12,0.75,0.1,0,0,0,0,0,0,,0.75,4.644
48:31.4,00:05.0,0,1,4.68,1,1.289,60.538,30.625,35.8977899,139.9357842, T 12,0.75,0.1,0,0,0,0,0,0,,0.75,4.644
48:31.5,00:05.1,0,1,4.68,1,1.376,60.584,30.57,35.89778841,139.9357858, T 12,0.05,0.1,0,0,0,0,0,0,,0.05,4.68
48:31.5,00:05.1,0,1,4.68,1,1.463,60.63,30.516,35.89778841,139.9357858, T 12,0.05,0.1,0,0,0,0,0,0,,0.05,4.68
48:31.6,00:05.2,0,1,4.68,1,1.549,60.676,30.461,35.89778841,139.9357858, T 12,0.05,0.1,0,0,0,0,0,0,,0.05,4.68
48:31.7,00:05.3,0,1,4.692,1,1.636,60.692,30.45,35.89778813,139.9357863, T 12,0.025,0.1,0,0,0,0,0,0,,0.025,4.698
48:31.7,00:05.3,0,1,4.704,1,1.723,60.708,30.44,35.89778813,139.9357863, T 12,0.025,0.1,0,0,0,0,0,0,,0.025,4.698
48:31.8,00:05.4,0,1,4.716,1,1.81,60.724,30.429,35.89778813,139.9357863, T 12,0.025,0.1,0,0,0,0,0,0,,0.025,4.698
48:31.9,00:05.5,0,1,4.656,1,1.897,60.744,30.352,35.89778604,139.935787, T 12,-0.1,0.1,0,0,0,0,0,0,,-0.1,4.626
48:31.9,00:05.5,0,1,4.596,1,1.983,60.764,30.275,35.89778604,139.935787, T 12,-0.1,0.1,0,0,0,0,0,0,,-0.1,4.626
48:32.0,00:05.6,0,1,4.536,1,2.067,60.785,30.198,35.89778604,139.935787, T 12,-0.1,0.1,0,0,0,0,0,0,,-0.1,4.626
48:32.1,00:05.7,0,1,4.668,1,2.181,60.839,30.117,35.89778387,139.9357888, T 12,0.15,0.1,0,0,0,0,0,0,,0.15,4.734
48:32.1,00:05.7,0,1,4.8,1,2.269,60.894,30.037,35.89778387,139.9357888, T 12,0.15,0.1,0,0,0,0,0,0,,0.15,4.734
48:32.2,00:05.8,0,1,4.932,1,2.359,60.949,29.956,35.89778387,139.9357888, T 12,0.15,0.1,0,0,0,0,0,0,,0.15,4.734
48:32.3,00:05.9,0,1,5.1,1,2.453,60.961,29.861,35.89778129,139.9357892, T 12,0.625,0.1,0,0,0,0,0,0,,0.625,5.184
48:32.3,00:05.9,0,1,5.268,1,2.549,60.974,29.765,35.89778129,139.9357892, T 12,0.625,0.1,0,0,0,0,0,0,,0.625,5.184
48:32.4,00:06.0,0,1,5.436,1,2.648,60.986,29.67,35.89778129,139.9357892, T 12,0.625,0.1,0,0,0,0,0,0,,0.625,5.184
48:32.5,00:06.1,0,1,5.436,1,2.749,60.965,29.607,35.89777958,139.9357885, T 12,0.35,0.1,0,0,0,0,0,0,,0.35,5.436
48:32.5,00:06.1,0,1,5.436,1,2.849,60.943,29.543,35.89777958,139.9357885, T 12,0.35,0.1,0,0,0,0,0,0,,0.35,5.436
48:32.6,00:06.2,0,1,5.436,1,2.95,60.922,29.48,35.89777958,139.9357885, T 12,0.35,0.1,0,0,0,0,0,0,,0.35,5.436
48:32.7,00:06.3,0,1,5.652,2,3.053,60.876,29.406,35.89777757,139.935787, T 12,0.45,0.1,0,0,0,0,0,0,,0.45,5.76
48:32.7,00:06.3,0,1,5.868,2,3.159,60.83,29.332,35.89777757,139.935787, T 12,0.45,0.1,0,0,0,0,0,0,,0.45,5.76
48:32.8,00:06.4,0,1,6.084,2,3.27,60.783,29.258,35.89777757,139.935787, T 12,0.45,0.1,0,0,0,0,0,0,,0.45,5.76
48:32.9,00:06.5,0,1,5.952,1,3.381,60.781,29.199,35.89777598,139.9357869, T 12,0.175,0.1,0,0,0,0,0,0,,0.175,5.886
48:32.9,00:06.5,0,1,5.82,1,3.49,60.779,29.14,35.89777598,139.9357869, T 12,0.175,0.1,0,0,0,0,0,0,,0.175,5.886
48:33.0,00:06.6,0,1,5.688,1,3.597,60.777,29.081,35.89777598,139.9357869, T 12,0.175,0.1,0,0,0,0,0,0,,0.175,5.886
