"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:36:04:09",,"CK","高嶺朋樹",,,
="0:36:25:36","ポゼッションエンド",,,,,
="0:36:25:36","相手チーム",,,,,
="0:37:20:38",,,"山川哲史",,"ブロック",
="0:38:06:35","相手チーム",,,,,"オフサイド"
="0:38:07:58","ポゼッションスタート",,,,,
="0:38:07:58","筑波大学",,,,,
="0:38:14:18",,"FK","阿部航斗",,,
="0:38:43:46","ポゼッションエンド",,,,,
="0:38:43:46","筑波大学",,,,,
="0:38:45:91",,,"高嶺朋樹","パス",,
="0:38:48:16",,,"手塚貴大","パス",,
="0:38:50:18",,,"山川哲史","パス",,
="0:38:52:04",,,"手塚貴大","パス",,
="0:38:53:38",,,"渡邊陽","パス",,
="0:38:55:68",,,"手塚貴大","パス",,
="0:38:59:61","ポゼッションスタート",,,,,
="0:38:59:61","相手チーム",,,,,
="0:38:59:94",,,"渡邊陽","ボールロスト",,
="0:39:19:38",,,"井川空",,"ブロック",
="0:39:40:04","ポゼッションエンド",,,,,
="0:39:40:04","相手チーム",,,,,
="0:40:12:16",,,"加藤匠人",,"ブロック",
="0:40:13:38","ポゼッションスタート",,,,,
="0:40:13:38","相手チーム",,,,,
="0:40:16:45","相手チーム","スローイン",,,,
="0:40:17:19","ポゼッションエンド",,,,,
="0:40:17:19","相手チーム",,,,,
="0:40:22:18",,,"井川空",,"カット",
="0:40:27:01","ポゼッションスタート",,,,,
="0:40:27:01","筑波大学",,,,,
="0:40:29:13","ポゼッションエンド",,,,,
="0:40:29:13","筑波大学",,,,,
="0:40:32:56",,,"高嶺朋樹","パス",,
="0:40:33:94","相手チーム",,,,,"ファール"
="0:40:35:40","ポゼッションスタート",,,,,
="0:40:35:40","筑波大学",,,,,
="0:41:00:79","ポゼッションエンド",,,,,
="0:41:00:79","筑波大学",,,,,
="0:41:03:91",,,"高嶺朋樹","パス",,
="0:41:05:36",,,"山川哲史","パス",,
="0:41:09:79",,,"高嶺朋樹","パス",,
="0:41:13:93",,,"生地慶充","パス",,
="0:41:15:75",,,"渡邊陽","パス",,
="0:41:19:22",,,"手塚貴大","パス",,
="0:41:20:37",,,"井川空","ボールロスト",,
="0:41:30:03","ポゼッションスタート",,,,,
="0:41:30:03","相手チーム",,,,,
="0:41:31:88","ポゼッションエンド",,,,,
="0:41:31:88","相手チーム",,,,,
="0:41:40:96","ポゼッションスタート",,,,,
="0:41:40:96","筑波大学",,,,,
="0:41:42:10",,"スローイン","生地慶充",,,
="0:41:45:86","ポゼッションエンド",,,,,
="0:41:45:86","筑波大学",,,,,
="0:41:52:30",,,"知久航介","パス",,
="0:41:55:30",,,"山川哲史","パス",,
="0:41:57:06",,,"知久航介","パス",,
="0:41:59:19",,,"阿部航斗","パス",,
="0:42:02:13",,,"手塚貴大","パス",,
="0:42:06:40",,,"井川空","パス",,
="0:42:10:84",,,"手塚貴大","パス",,
="0:42:12:48",,,"山川哲史","パス",,
="0:42:18:03",,,"生地慶充","パス",,
="0:42:20:41",,,"渡邊陽","ボールロスト",,
="0:42:22:78","ポゼッションスタート",,,,,
="0:42:22:78","相手チーム",,,,,
="0:42:24:06",,"スローイン","加藤匠人",,,
="0:42:40:04","ポゼッションエンド",,,,,
="0:42:40:04","相手チーム",,,,,
="0:42:40:28",,,"高嶺朋樹",,"インターセプト",
="0:42:42:67","ポゼッションスタート",,,,,
="0:42:42:67","筑波大学",,,,,
="0:42:43:21",,,"手塚貴大","パス",,
="0:42:44:04","ポゼッションエンド",,,,,
="0:42:44:04","筑波大学",,,,,
="0:42:45:56",,,"山川哲史","パス",,
="0:42:48:28",,,"知久航介","パス",,
="0:42:50:65",,,"生地慶充","パス",,
="0:42:52:75",,,"山川哲史","パス",,
="0:42:54:82",,,"手塚貴大","パス",,
="0:42:56:74",,,"山川哲史","ボールロスト",,
="0:43:07:68","ポゼッションスタート",,,,,
="0:43:07:68","筑波大学",,,,,
="0:43:12:01",,"CK","加藤匠人",,,
="0:43:32:26",,,"高嶺朋樹","パス",,
="0:43:36:81",,,"知久航介","パス",,
="0:43:40:54",,,"生地慶充","パス",,
="0:43:41:41",,,"知久航介","ボールロスト",,
="0:43:47:85","ポゼッションエンド",,,,,
="0:43:47:85","筑波大学",,,,,
="0:43:50:85",,,"山川哲史","パス",,
="0:43:52:71",,,"手塚貴大","パス",,
="0:43:55:09",,,"高嶺朋樹","パス",,
="0:43:56:55",,,"山川哲史","パス",,
="0:43:58:52",,,"知久航介","ボールロスト",,
="0:44:01:79","ポゼッションスタート",,,,,
="0:44:01:79","筑波大学",,,,,
="0:44:07:24","ポゼッションエンド",,,,,
="0:44:07:24","筑波大学",,,,,
="0:44:11:04",,,"山川哲史","パス",,
="0:44:12:98",,,"高嶺朋樹","パス",,
="0:44:17:30",,,"井川空","パス",,
="0:44:21:24",,,"高嶺朋樹","パス",,
="0:44:23:37",,,"知久航介","パス",,
="0:44:24:23",,,"高嶺朋樹","ボールロスト",,
="0:44:24:92","ポゼッションスタート",,,,,
="0:44:24:92","筑波大学",,,,,
="0:44:26:20",,"スローイン","知久航介",,,
="0:44:36:44","ポゼッションエンド",,,,,
="0:44:36:44","筑波大学",,,,,
="0:44:47:79",,,"井川空","クロス",,
