"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:09:57:43",,,"池谷祐輔","ボールロスト",,
="0:09:59:06","ポゼッションスタート",,,,,
="0:09:59:06","筑波大学",,,,,
="0:10:06:29",,,"阿部航斗","パス",,
="0:10:07:45","ポゼッションエンド",,,,,
="0:10:07:45","筑波大学",,,,,
="0:10:09:26",,,"山川哲史","パス",,
="0:10:10:10",,,"高嶺朋樹","パス",,
="0:10:11:56",,,"阿部航斗","パス",,
="0:10:14:50",,,"手塚貴大","パス",,
="0:10:18:01",,,"高嶺朋樹","パス",,
="0:10:23:28",,,"山川哲史","パス",,
="0:10:25:24",,,"森海渡","ボールロスト",,
="0:10:26:58","ポゼッションスタート",,,,,
="0:10:26:58","相手チーム",,,,,
="0:10:31:00",,"スローイン","知久航介",,,
="0:10:44:27",,"スローイン","知久航介",,,
="0:10:51:68",,,"池谷祐輔","パス",,
="0:10:52:89",,,"知久航介","パス",,
="0:10:56:44",,,"加藤匠人","パス",,
="0:10:57:75",,,"森海渡","ボールロスト",,
="0:11:04:46","ポゼッションエンド",,,,,
="0:11:04:46","相手チーム",,,,,
="0:11:10:91","ポゼッションスタート",,,,,
="0:11:10:91","筑波大学",,,,,
="0:11:14:70",,"スローイン","知久航介",,,
="0:11:15:23","ポゼッションエンド",,,,,
="0:11:15:23","筑波大学",,,,,
="0:11:18:48",,,"高嶺朋樹","パス",,
="0:11:23:03",,,"手塚貴大","パス",,
="0:11:26:41",,,"渡邊陽","パス",,
="0:11:28:52",,,"手塚貴大","パス",,
="0:11:31:93",,,"山川哲史","パス",,
="0:11:32:77",,,"知久航介","パス",,
="0:11:35:48",,,"池谷祐輔","パス",,
="0:11:39:91","ポゼッションスタート",,,,,
="0:11:39:91","筑波大学",,,,,
="0:11:39:98",,,"生地慶充","ボールロスト",,
="0:11:43:33",,,"山川哲史",,"インターセプト",
="0:11:46:33",,,"手塚貴大","パス",,
="0:11:47:12","ポゼッションエンド",,,,,
="0:11:47:12","筑波大学",,,,,
="0:11:51:72",,,"阿部航斗","パス",,
="0:11:55:58",,,"手塚貴大","パス",,
="0:11:56:19",,,"高嶺朋樹","パス",,
="0:11:58:60",,,"渡邊陽","パス",,
="0:12:02:86",,,"山川哲史","パス",,
="0:12:05:07",,,"生地慶充","パス",,
="0:12:05:50","ポゼッションスタート",,,,,
="0:12:05:50","筑波大学",,,,,
="0:12:07:01",,,"森海渡","ボールロスト",,
="0:12:10:89",,,"手塚貴大",,"インターセプト",
="0:12:11:58","ポゼッションエンド",,,,,
="0:12:11:58","筑波大学",,,,,
="0:12:11:77",,,"手塚貴大","パス",,
="0:12:12:30",,,"高嶺朋樹","パス",,
="0:12:14:65",,,"山川哲史","パス",,
="0:12:16:45",,,"高嶺朋樹","パス",,
="0:12:19:72",,,"渡邊陽","パス",,
="0:12:20:54",,,"加藤匠人","パス",,
="0:12:22:81",,,"池谷祐輔","パス",,
="0:12:24:67",,,"森海渡","パス",,
="0:12:27:69",,,"渡邊陽","枠内シュート",,
="0:12:30:59","ポゼッションスタート",,,,,
="0:12:30:59","筑波大学",,,,,
="0:12:48:74",,,"山川哲史",,"ブロック",
="0:13:03:85",,"GK","阿部航斗",,,
="0:13:08:14","ポゼッションエンド",,,,,
="0:13:08:14","筑波大学",,,,,
="0:13:11:11",,,"山川哲史","パス",,
="0:13:15:05",,,"阿部航斗","パス",,
="0:13:17:35",,,"高嶺朋樹","パス",,
="0:13:20:82",,,"渡邊陽","パス",,
="0:13:23:54",,,"山川哲史","パス",,
="0:13:26:58",,,"高嶺朋樹","パス",,
="0:13:32:21",,,"渡邊陽","パス",,
="0:13:34:37",,,"山川哲史","パス",,
="0:13:38:36",,,"高嶺朋樹","パス",,
="0:13:41:84",,,"池谷祐輔","ボールロスト",,
="0:13:42:22","ポゼッションスタート",,,,,
="0:13:42:22","相手チーム",,,,,
="0:13:44:53","ポゼッションエンド",,,,,
="0:13:44:53","相手チーム",,,,,
="0:14:14:68",,,"渡邊陽",,"インターセプト",
="0:14:18:18",,,"渡邊陽","ボールロスト",,
="0:14:22:93","ポゼッションスタート",,,,,
="0:14:22:93","筑波大学",,,,,
="0:14:28:92","相手チーム",,,"枠外シュート",,
="0:14:36:36",,"GK","阿部航斗",,,
="0:14:36:99","ポゼッションエンド",,,,,
="0:14:36:99","筑波大学",,,,,
="0:14:39:81",,,"手塚貴大","パス",,
="0:14:42:19",,,"阿部航斗","パス",,
="0:14:45:87",,,"山川哲史","パス",,
="0:14:51:29",,,"渡邊陽","パス",,
="0:14:52:31",,,"山川哲史","パス",,
="0:14:57:52",,,"阿部航斗","パス",,
="0:14:59:49",,,"井川空","パス",,
="0:15:06:94",,,"渡邊陽",,"インターセプト",
="0:15:10:64",,,"渡邊陽","パス",,
