Player,: Iwamoto Sho,,,,,,,,,,,,,,,,,,,,,
Session,: 20190502 Top Kanto League 4sec vs Meiji Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,28:35.6,,,,,,,,,,,,,,,,,,,,,
End,00:58.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
28:38.4,00:02.8,0,1,0,1,0,46.93,41.323,35.89770568,139.9358655, T 10,0,0,0,0,0,0,0,0,,0,0
28:38.5,00:02.9,0,1,0,1,0,46.93,41.323,35.8977053,139.9358632, T 10,0,0,0,0,0,0,0,0,,0,0
28:38.5,00:02.9,0,1,0,1,0,46.93,41.323,35.8977053,139.9358632, T 10,0,0,0,0,0,0,0,0,,0,0
28:38.6,00:03.0,0,1,0,1,0,46.721,41.28,35.8977053,139.9358632, T 10,0,0,0,0,0,0,0,0,,0,0
28:38.7,00:03.1,0,1,0,1,0,46.721,41.28,35.89770496,139.9358638, T 9,0,0,0,0,0,0,0,0,,0,0
28:38.7,00:03.1,0,1,0,1,0,46.721,41.28,35.89770496,139.9358638, T 9,0,0,0,0,0,0,0,0,,0,0
28:38.8,00:03.2,0,1,0,1,0,46.779,41.242,35.89770496,139.9358638, T 9,0,0,0,0,0,0,0,0,,0,0
28:38.9,00:03.3,0,1,0,1,0,46.779,41.242,35.89770429,139.935865, T 9,0,0,0,0,0,0,0,0,,0,0
28:38.9,00:03.3,0,1,0,1,0,46.779,41.242,35.89770429,139.935865, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.0,00:03.4,0,1,0,1,0,46.887,41.169,35.89770429,139.935865, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.1,00:03.5,0,1,0,1,0,46.887,41.169,35.89770429,139.935865, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.1,00:03.5,0,1,0,1,0,46.887,41.169,35.89770429,139.935865, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.2,00:03.6,0,1,0,1,0,46.882,41.168,35.89770429,139.935865, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.3,00:03.7,0,1,0,1,0,46.882,41.168,35.89770449,139.9358644, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.3,00:03.7,0,1,0,1,0,46.882,41.168,35.89770449,139.9358644, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.4,00:03.8,0,1,0,1,0,46.834,41.191,35.89770449,139.9358644, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.5,00:03.9,0,1,0,1,0,46.834,41.191,35.89770381,139.9358654, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.5,00:03.9,0,1,0,1,0,46.834,41.191,35.89770381,139.9358654, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.6,00:04.0,0,1,0,1,0,46.924,41.115,35.89770381,139.9358654, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.7,00:04.1,0,1,0,1,0,46.924,41.115,35.89770319,139.9358665, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.7,00:04.1,0,1,0,1,0,46.924,41.115,35.89770319,139.9358665, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.8,00:04.2,0,1,0,1,0,47.017,41.047,35.89770319,139.9358665, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.9,00:04.3,0,1,0,1,0,47.017,41.047,35.89770226,139.9358679, T 9,0,0,0,0,0,0,0,0,,0,0
28:39.9,00:04.3,0,1,0,1,0,47.017,41.047,35.89770226,139.9358679, T 9,0,0,0,0,0,0,0,0,,0,0
28:40.0,00:04.4,0,1,0,1,0,47.144,40.944,35.89770226,139.9358679, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.1,00:04.5,0,1,0,1,0,47.144,40.944,35.89770181,139.9358686, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.1,00:04.5,0,1,0,1,0,47.144,40.944,35.89770181,139.9358686, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.2,00:04.6,0,1,0,1,0,47.209,40.893,35.89770181,139.9358686, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.3,00:04.7,0,1,0,1,0,47.209,40.893,35.89770155,139.9358685, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.3,00:04.7,0,1,0,1,0,47.209,40.893,35.89770155,139.9358685, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.4,00:04.8,0,1,0,1,0,47.196,40.865,35.89770155,139.9358685, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.5,00:04.9,0,1,0,1,0,47.196,40.865,35.89770177,139.9358678, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.5,00:04.9,0,1,0,1,0,47.196,40.865,35.89770177,139.9358678, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.6,00:05.0,0,1,0,1,0,47.136,40.889,35.89770177,139.9358678, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.7,00:05.1,0,1,0,1,0,47.136,40.889,35.89770149,139.9358681, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.7,00:05.1,0,1,0,1,0,47.136,40.889,35.89770149,139.9358681, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.8,00:05.2,0,1,0,1,0,47.164,40.857,35.89770149,139.9358681, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.9,00:05.3,0,1,0,1,0,47.164,40.857,35.89770108,139.9358686, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:40.9,00:05.3,0,1,0,1,0,47.164,40.857,35.89770108,139.9358686, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.0,00:05.4,0,1,0,1,0,47.21,40.813,35.89770108,139.9358686, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.1,00:05.5,0,1,0,1,0,47.21,40.813,35.89770076,139.935869, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.1,00:05.5,0,1,0,1,0,47.21,40.813,35.89770076,139.935869, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.2,00:05.6,0,1,0,1,0,47.245,40.777,35.89770076,139.935869, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.3,00:05.7,0,1,0,1,0,47.245,40.777,35.89770063,139.9358687, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.3,00:05.7,0,1,0,1,0,47.245,40.777,35.89770063,139.9358687, T 9,0,0,0,0,0,0,0,0,71-75,0,0
28:41.4,00:05.8,0,1,0,1,0,47.214,40.762,35.89770063,139.9358687, T 9,0,0,0,0,0,0,0,0,71-75,0,0
