Player,: Oidi Yoshiatsu,,,,,,,,,,,,,,,,,,,,,
Session,: 20190506 Top Kanto League 5sec vs Juntendo Univ.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Start,30:35.2,,,,,,,,,,,,,,,,,,,,,
End,04:25.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time,Cumulative Time,Heart Rate,Heart Rate Zone,Speed (km/h),Speed Zone,Distance (m),X (m),Y (m),Latitude,Longitude,Sats,Acceleration (m/s/s),Bodyload,Impact Z1,Impact Z2,Impact Z3,Impact Z4,Impact Z5,Impact Z6,Split Name,Acceleration Load (m/s/s),Filtered Velocity (km/h)
30:38.0,00:02.8,0,1,0,1,0,22.817,54.517,35.89780618,139.9358087, T 12,0,0,0,0,0,0,0,0,,0,0
30:38.1,00:02.9,0,1,0,1,0,22.817,54.517,35.89780724,139.935808, T 13,0,0,0,0,0,0,0,0,,0,0
30:38.1,00:02.9,0,1,0,1,0,22.817,54.517,35.89780724,139.935808, T 13,0,0,0,0,0,0,0,0,,0,0
30:38.2,00:03.0,0,1,0,1,0,22.751,54.634,35.89780724,139.935808, T 13,0,0,0,0,0,0,0,0,,0,0
30:38.3,00:03.1,0,1,0,1,0,22.751,54.634,35.89780887,139.9358069, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.3,00:03.1,0,1,0,1,0,22.751,54.634,35.89780887,139.9358069, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.4,00:03.2,0,1,0,1,0,22.659,54.816,35.89780887,139.9358069, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.5,00:03.3,0,1,0,1,0,22.659,54.816,35.89780991,139.9358063, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.5,00:03.3,0,1,0,1,0,22.659,54.816,35.89780991,139.9358063, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.6,00:03.4,0,1,0,1,0,22.597,54.931,35.89780991,139.9358063, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.7,00:03.5,0,1,0,1,0,22.597,54.931,35.89781077,139.935806, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.7,00:03.5,0,1,0,1,0,22.597,54.931,35.89781077,139.935806, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.8,00:03.6,0,1,0,1,0,22.57,55.027,35.89781077,139.935806, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.9,00:03.7,0,1,0,1,0,22.57,55.027,35.89781189,139.9358059, T 14,0,0,0,0,0,0,0,0,,0,0
30:38.9,00:03.7,0,1,0,1,0,22.57,55.027,35.89781189,139.9358059, T 14,0,0,0,0,0,0,0,0,,0,0
30:39.0,00:03.8,0,1,0,1,0,22.565,55.151,35.89781189,139.9358059, T 14,0,0,0,0,0,0,0,0,,0,0
30:39.1,00:03.9,0,1,0,1,0,22.565,55.151,35.8978127,139.9358056, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.1,00:03.9,0,1,0,1,0,22.565,55.151,35.8978127,139.9358056, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.2,00:04.0,0,1,0,1,0,22.538,55.241,35.8978127,139.9358056, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.3,00:04.1,0,1,0,1,0,22.538,55.241,35.89781356,139.9358053, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.3,00:04.1,0,1,0,1,0,22.538,55.241,35.89781356,139.9358053, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.4,00:04.2,0,1,0,1,0,22.508,55.337,35.89781356,139.9358053, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.5,00:04.3,0,1,0,1,0,22.508,55.337,35.89781454,139.9358048, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.5,00:04.3,0,1,0,1,0,22.508,55.337,35.89781454,139.9358048, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.6,00:04.4,0,1,0,1,0,22.468,55.444,35.89781454,139.9358048, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.7,00:04.5,0,1,0,1,0,22.468,55.444,35.89781518,139.9358045, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.7,00:04.5,0,1,0,1,0,22.468,55.444,35.89781518,139.9358045, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.8,00:04.6,0,1,0,1,0,22.437,55.516,35.89781518,139.9358045, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.9,00:04.7,0,1,0,1,0,22.437,55.516,35.89781563,139.9358042, T 13,0,0,0,0,0,0,0,0,,0,0
30:39.9,00:04.7,0,1,0,1,0,22.437,55.516,35.89781563,139.9358042, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.0,00:04.8,0,1,0,1,0,22.409,55.566,35.89781563,139.9358042, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.1,00:04.9,0,1,0,1,0,22.409,55.566,35.89781581,139.9358041, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.1,00:04.9,0,1,0,1,0,22.409,55.566,35.89781581,139.9358041, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.2,00:05.0,0,1,0,1,0,22.399,55.586,35.89781581,139.9358041, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.3,00:05.1,0,1,0,1,0,22.399,55.586,35.89781595,139.935804, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.3,00:05.1,0,1,0,1,0,22.399,55.586,35.89781595,139.935804, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.4,00:05.2,0,1,0,1,0,22.391,55.601,35.89781595,139.935804, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.5,00:05.3,0,1,0,1,0,22.391,55.601,35.89781632,139.9358038, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.5,00:05.3,0,1,0,1,0,22.391,55.601,35.89781632,139.9358038, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.6,00:05.4,0,1,0,1,0,22.375,55.642,35.89781632,139.9358038, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.7,00:05.5,0,1,0,1,0,22.375,55.642,35.89781658,139.9358035, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.7,00:05.5,0,1,0,1,0,22.375,55.642,35.89781658,139.9358035, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.8,00:05.6,0,1,0,1,0,22.351,55.671,35.89781658,139.9358035, T 13,0,0,0,0,0,0,0,0,,0,0
30:40.9,00:05.7,0,1,0,1,0,22.351,55.671,35.89781655,139.9358033, T 12,0,0,0,0,0,0,0,0,,0,0
30:40.9,00:05.7,0,1,0,1,0,22.351,55.671,35.89781655,139.9358033, T 12,0,0,0,0,0,0,0,0,,0,0
30:41.0,00:05.8,0,1,0,1,0,22.33,55.668,35.89781655,139.9358033, T 12,0,0,0,0,0,0,0,0,,0,0
30:41.1,00:05.9,0,1,0,1,0,22.33,55.668,35.89781656,139.9358031, T 12,0,0,0,0,0,0,0,0,,0,0
30:41.1,00:05.9,0,1,0,1,0,22.33,55.668,35.89781656,139.9358031, T 12,0,0,0,0,0,0,0,0,,0,0
30:41.2,00:06.0,0,1,0,1,0,22.314,55.669,35.89781656,139.9358031, T 12,0,0,0,0,0,0,0,0,,0,0
30:41.3,00:06.1,0,1,0,1,0,22.314,55.669,35.89781704,139.9358033, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.3,00:06.1,0,1,0,1,0,22.314,55.669,35.89781704,139.9358033, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.4,00:06.2,0,1,0,1,0,22.329,55.722,35.89781704,139.9358033, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.5,00:06.3,0,1,0,1,0,22.329,55.722,35.8978173,139.9358034, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.5,00:06.3,0,1,0,1,0,22.329,55.722,35.8978173,139.9358034, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.6,00:06.4,0,1,0,1,0,22.341,55.751,35.8978173,139.9358034, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.7,00:06.5,0,1,0,1,0,22.341,55.751,35.89781747,139.9358037, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.7,00:06.5,0,1,0,1,0,22.341,55.751,35.89781747,139.9358037, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.8,00:06.6,0,1,0,1,0,22.365,55.77,35.89781747,139.9358037, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.9,00:06.7,0,1,0,1,0,22.365,55.77,35.89781773,139.9358038, T 13,0,0,0,0,0,0,0,0,,0,0
30:41.9,00:06.7,0,1,0,1,0,22.365,55.77,35.89781773,139.9358038, T 13,0,0,0,0,0,0,0,0,,0,0
30:42.0,00:06.8,0,1,0,1,0,22.377,55.799,35.89781773,139.9358038, T 13,0,0,0,0,0,0,0,0,,0,0
30:42.1,00:06.9,0,1,0,1,0,22.377,55.799,35.89781813,139.9358041, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.1,00:06.9,0,1,0,1,0,22.377,55.799,35.89781813,139.9358041, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.2,00:07.0,0,1,0,1,0,22.403,55.843,35.89781813,139.9358041, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.3,00:07.1,0,1,0,1,0,22.403,55.843,35.89781838,139.9358044, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.3,00:07.1,0,1,0,1,0,22.403,55.843,35.89781838,139.9358044, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.4,00:07.2,0,1,0,1,0,22.427,55.871,35.89781838,139.9358044, T 12,0,0,0,0,0,0,0,0,,0,0
30:42.5,00:07.3,0,1,0,1,0,22.427,55.871,35.8978187,139.9358047, T 12,0,0,0,0,0,0,0,0,,0,0
