"時間","default","選手名","攻撃","守備","キーパーアクション"
579.612946,"ポゼッションエンド",,,,
579.612946,"筑波大学",,,,
582.515849,"ポゼッションスタート",,,,
582.515849,"相手チーム",,,,
605.772439,"ポゼッションエンド",,,,
605.772439,"相手チーム",,,,
609.042376,"ポゼッションスタート",,,,
609.042376,"筑波大学",,,,
609.70971,,"角田涼太郎","パス",,
611.478145,,"井川空","パス",,
613.04638,,"渡邊陽","ボールロスト",,
614.247581,"ポゼッションエンド",,,,
614.247581,"筑波大学",,,,
621.287955,,"角田涼太郎",,"ブロック",
663.997331,,"阿部航斗",,,"パンチング"
708.675342,,"高嶺朋樹",,"カット",
742.842843,"ポゼッションスタート",,,,
742.842843,"筑波大学",,,,
745.278612,,"高嶺朋樹",,"カット",
770.036703,,"渡邊陽",,"インターセプト",
780.647314,,"角田涼太郎","ドリブル",,
806.006006,"ポゼッションエンド",,,,
806.006006,"筑波大学",,,,
810.543877,"ポゼッションスタート",,,,
810.543877,"相手チーム",,,,
815.615616,"ポゼッションエンド",,,,
815.615616,"相手チーム",,,,
823.523524,"ポゼッションスタート",,,,
823.523524,"相手チーム",,,,
843.143143,,"山川哲史",,"ブロック",
853.28662,"ポゼッションエンド",,,,
853.28662,"相手チーム",,,,
855.055055,,"高嶺朋樹",,"インターセプト",
855.388722,"ポゼッションスタート",,,,
855.388722,"筑波大学",,,,
866.466466,,"阿部航斗",,"クリア",
883.683684,"ポゼッションエンド",,,,
883.683684,"筑波大学",,,,
921.354688,,"角田涼太郎",,"ブロック",
957.624291,"ポゼッションスタート",,,,
957.624291,"筑波大学",,,,
958.258258,,"角田涼太郎",,"カット",
970.904238,"ポゼッションエンド",,,,
970.904238,"筑波大学",,,,
988.722055,"ポゼッションスタート",,,,
988.722055,"筑波大学",,,,
1007.140474,"ポゼッションエンド",,,,
1007.140474,"筑波大学",,,,
1013.64698,"ポゼッションスタート",,,,
1013.64698,"筑波大学",,,,
1027.827828,"ポゼッションエンド",,,,
1027.827828,"筑波大学",,,,
1044.377711,,"井川空",,"インターセプト",
1044.978312,"ポゼッションスタート",,,,
1044.978312,"筑波大学",,,,
1048.081415,"ポゼッションエンド",,,,
1048.081415,"筑波大学",,,,
1052.952953,,"山川哲史",,"ブロック",
1058.858859,,"山川哲史",,"クリア",
1067.801134,"ポゼッションエンド",,,,
1067.801134,"相手チーム",,,,
1078.912246,,"角田涼太郎",,"ブロック",
1079.245913,"ポゼッションエンド",,,,
1079.245913,"相手チーム",,,,
1086.686687,"ポゼッションスタート",,,,
1086.686687,"相手チーム",,,,
1111.311311,"ポゼッションエンド",,,,
1111.311311,"相手チーム",,,,
1112.012012,,"井川空",,"インターセプト",
1123.75709,"ポゼッションスタート",,,,
1123.75709,"相手チーム",,,,
1137.270604,"ポゼッションエンド",,,,
1137.270604,"相手チーム",,,,
1149.54955,"ポゼッションスタート",,,,
1149.54955,"筑波大学",,,,
1164.798131,"ポゼッションエンド",,,,
1164.798131,"筑波大学",,,,
1173.940607,,"角田涼太郎",,"カット",
1182.982983,,"森海渡","枠内シュート",,
1189.389389,,"渡邊陽",,"インターセプト",
1190.39039,"ポゼッションスタート",,,,
1190.39039,"筑波大学",,,,
1203.803804,,"加藤匠人","クロス",,
1205.939273,"ポゼッションエンド",,,,
1205.939273,"筑波大学",,,,
1208.842176,"ポゼッションスタート",,,,
1208.842176,"相手チーム",,,,
1224.290958,"ポゼッションエンド",,,,
1224.290958,"相手チーム",,,,
1231.097764,"ポゼッションスタート",,,,
1231.097764,"筑波大学",,,,
1278.411745,"ポゼッションエンド",,,,
1278.411745,"筑波大学",,,,
1281.748415,"ポゼッションスタート",,,,
1281.748415,"相手チーム",,,,
1291.257925,,"岩本翔",,"ブロック",
1291.591592,"ポゼッションエンド",,,,
1291.591592,"相手チーム",,,,
1336.870204,,"高嶺朋樹",,"カット",
1337.604271,"ポゼッションスタート",,,,
1337.604271,"筑波大学",,,,
1361.695028,"ポゼッションエンド",,,,
1361.695028,"筑波大学",,,,
1367.100434,,"阿部航斗",,"インターセプト",
1376.476476,"ポゼッションスタート",,,,
1376.476476,"筑波大学",,,,
1385.652319,"ポゼッションエンド",,,,
1385.652319,"筑波大学",,,,
1388.621955,"ポゼッションスタート",,,,
1388.621955,"相手チーム",,,,
1404.904905,"相手チーム",,,"被枠外シュート",
1405.872539,"ポゼッションエンド",,,,
1405.872539,"相手チーム",,,,
1440.106773,,"高嶺朋樹",,"インターセプト",
1442.308976,"ポゼッションスタート",,,,
1442.308976,"筑波大学",,,,
1445.779112,"ポゼッションエンド",,,,
1445.779112,"筑波大学",,,,
1448.114781,"ポゼッションスタート",,,,
1448.114781,"相手チーム",,,,
1455.822489,,"阿部航斗",,,"セービング"
1464.531198,,"角田涼太郎",,"カット",
1465.999333,"ポゼッションエンド",,,,
1465.999333,"相手チーム",,,,
1505.739072,,"阿部航斗",,"クリア",
1510.944278,"ポゼッションスタート",,,,
1510.944278,"筑波大学",,,,
1517.884551,,"井川空","ドリブル",,
1520.520521,"ポゼッションエンド",,,,
1520.520521,"筑波大学",,,,
1541.307975,"ポゼッションスタート",,,,
1541.307975,"相手チーム",,,,
1561.061061,"ポゼッションエンド",,,,
1561.061061,"相手チーム",,,,
1565.131798,"ポゼッションスタート",,,,
1565.131798,"相手チーム",,,,
1571.137804,,"山川哲史",,"クリア",
1573.440107,"ポゼッションエンド",,,,
1573.440107,"相手チーム",,,,
1585.318652,,"岩本翔",,"インターセプト",
1596.529863,"ポゼッションスタート",,,,
1596.529863,"相手チーム",,,,
1603.903904,"ポゼッションエンド","阿部航斗",,,"キャッチ"
1603.903904,"相手チーム",,,,
1606.339673,"ポゼッションスタート",,,,
1606.339673,"筑波大学",,,,
1622.355689,,"山原怜音","ドリブル",,
1628.661995,"ポゼッションエンド",,,,
1628.661995,"筑波大学",,,,
1629.62963,,"山原怜音","クロス",,
1631.998665,"ポゼッションスタート",,,,
1631.998665,"相手チーム",,,,
1672.772773,"ポゼッションエンド",,,,
1672.772773,"相手チーム",,,,
