"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:38:08:00","ポゼッションエンド",,,,,
="0:38:08:00","筑波大学",,,,,
="0:38:09:84",,,"山川哲史",,"ブロック",
="0:38:11:96","ポゼッションスタート",,,,,
="0:38:11:96","相手チーム",,,,,
="0:38:19:04",,,"山川哲史",,"カット",
="0:38:19:72","相手チーム",,,,,"ファール"
="0:38:21:68","ポゼッションエンド",,,,,
="0:38:21:68","相手チーム",,,,,
="0:38:33:44",,"FK","角田涼太郎",,,
="0:38:33:64","ポゼッションスタート",,,,,
="0:38:33:64","筑波大学",,,,,
="0:38:39:92",,,"阿部航斗","パス",,
="0:38:41:08",,,"高嶺朋樹","パス",,
="0:38:43:68",,,"渡邊陽","パス",,
="0:38:45:16",,,"角田涼太郎","パス",,
="0:38:47:76",,,"渡邊陽","パス",,
="0:38:50:40",,,"加藤匠人","パス",,
="0:38:52:32",,,"井川空","パス",,
="0:38:54:56",,,"加藤匠人","パス",,
="0:38:59:32",,,"森海渡","ボールロスト",,
="0:39:00:28","ポゼッションエンド",,,,,
="0:39:00:28","筑波大学",,,,,
="0:39:01:92","ポゼッションスタート",,,,,
="0:39:01:92","相手チーム",,,,,
="0:39:08:00",,,"角田涼太郎",,"カット",
="0:39:09:60","ポゼッションエンド",,,,,
="0:39:09:60","相手チーム",,,,,
="0:39:10:04",,,"高嶺朋樹","パス",,
="0:39:12:08","ポゼッションスタート",,,,,
="0:39:12:08","筑波大学",,,,,
="0:39:12:72",,,"山川哲史","パス",,
="0:39:15:48",,,"阿部航斗","パス",,
="0:39:19:04",,,"山原怜音","パス",,
="0:39:19:64",,,"渡邊陽","パス",,
="0:39:21:96",,,"角田涼太郎","パス",,
="0:39:26:28",,,"山川哲史","パス",,
="0:39:27:40",,,"池谷祐輔","ボールロスト",,
="0:39:30:76","ポゼッションエンド",,,,,
="0:39:30:76","筑波大学",,,,,
="0:39:33:40",,,"山川哲史",,"カット",
="0:39:34:80",,,"高嶺朋樹","パス",,
="0:39:35:24","ポゼッションスタート",,,,,
="0:39:35:24","筑波大学",,,,,
="0:39:40:36",,,"山原怜音","パス",,
="0:39:41:56",,,"三笘薫","ドリブル",,
="0:39:49:20","ポゼッションエンド",,,,,
="0:39:49:20","筑波大学",,,,,
="0:39:52:04",,,"角田涼太郎","パス",,
="0:39:54:44","ポゼッションスタート",,,,,
="0:39:54:44","筑波大学",,,,,
="0:39:55:20",,,"山原怜音","パス",,
="0:39:57:96",,,"角田涼太郎","パス",,
="0:40:02:40",,,"山川哲史","パス",,
="0:40:02:68",,,"加藤匠人","パス",,
="0:40:04:84",,,"森海渡","ボールロスト",,
="0:40:07:28","ポゼッションエンド",,,,,
="0:40:07:28","筑波大学",,,,,
="0:40:10:96",,,"山原怜音",,"インターセプト",
="0:40:13:92","ポゼッションスタート",,,,,
="0:40:13:92","筑波大学",,,,,
="0:40:14:84",,,"山原怜音","パス",,
="0:40:16:52",,,"角田涼太郎","パス",,
="0:40:19:00",,,"加藤匠人","パス",,
="0:40:22:56",,,"山川哲史","パス",,
="0:40:24:36",,,"池谷祐輔","ボールロスト",,
="0:40:26:20","ポゼッションエンド",,,,,
="0:40:26:20","筑波大学",,,,,
="0:40:26:48",,,"高嶺朋樹",,"カット",
="0:40:27:28","ポゼッションスタート",,,,,
="0:40:27:28","相手チーム",,,,,
="0:40:29:68",,,"高嶺朋樹","パス",,
="0:40:30:48","ポゼッションエンド",,,,,
="0:40:30:48","相手チーム",,,,,
="0:40:34:12","ポゼッションスタート",,,,,
="0:40:34:12","筑波大学",,,,,
="0:40:35:64",,,"三笘薫","パス",,
="0:40:36:68",,,"山原怜音","クロス",,
="0:40:39:40",,,"池谷祐輔","ボールロスト",,
="0:40:42:72","ポゼッションエンド",,,,,
="0:40:42:72","筑波大学",,,,,
="0:40:46:84",,,"三笘薫","パス",,
="0:40:48:56","ポゼッションスタート",,,,,
="0:40:48:56","筑波大学",,,,,
="0:40:49:76",,,"加藤匠人","パス",,
="0:40:52:96",,,"三笘薫","パス",,
="0:40:56:16",,,"山原怜音","パス",,
="0:40:58:08",,,"加藤匠人","パス",,
="0:40:59:60",,,"高嶺朋樹","パス",,
="0:41:02:36",,,"池谷祐輔","パス",,
="0:41:05:36",,,"山川哲史","パス",,
="0:41:07:56",,,"加藤匠人","パス",,
="0:41:08:68",,,"高嶺朋樹","ボールロスト",,
="0:41:10:68","ポゼッションエンド",,,,,
="0:41:10:68","筑波大学",,,,,
="0:41:12:00","ポゼッションスタート",,,,,
="0:41:12:00","相手チーム",,,,,
="0:41:13:76",,,"山川哲史",,"カット",
="0:41:19:28","ポゼッションエンド",,,,,
="0:41:19:28","相手チーム",,,,,
="0:41:30:84",,"スローイン","井川空",,,
="0:41:32:48","ポゼッションスタート",,,,,
="0:41:32:48","筑波大学",,,,,
="0:41:38:24",,,"井川空","パス",,
="0:41:40:16",,,"山川哲史","パス",,
="0:41:42:40",,,"角田涼太郎","パス",,
="0:41:48:52",,,"山原怜音","パス",,
="0:41:50:04",,,"渡邊陽","パス",,
="0:41:50:80",,,"山原怜音","パス",,
="0:41:52:32",,,"角田涼太郎","パス",,
="0:41:53:60",,,"高嶺朋樹","パス",,
="0:41:57:80",,,"角田涼太郎","パス",,
="0:42:00:32",,,"三笘薫","パス",,
="0:42:02:80","ポゼッションエンド",,,,,
="0:42:02:80","筑波大学",,,,,
="0:42:03:00",,,"山原怜音","ボールロスト",,
="0:42:12:08","ポゼッションスタート",,,,,
="0:42:12:08","筑波大学",,,,,
="0:42:13:24",,,"角田涼太郎","パス",,
="0:42:15:24",,,"渡邊陽","パス",,
="0:42:19:48",,,"山川哲史","パス",,
="0:42:20:92",,,"加藤匠人","パス",,
="0:42:24:60",,,"山原怜音","パス",,
="0:42:28:80",,,"三笘薫","ボールロスト",,
="0:42:34:32",,,"角田涼太郎","パス",,
="0:42:37:28",,,"山原怜音","パス",,
="0:42:39:52",,,"渡邊陽","パス",,
="0:42:42:32",,,"加藤匠人","パス",,
="0:42:44:96",,,"渡邊陽","パス",,
="0:42:46:52",,,"加藤匠人","パス",,
="0:42:49:04",,,"角田涼太郎","パス",,
="0:42:50:84",,,"山原怜音","パス",,
="0:42:52:04",,,"三笘薫","ドリブル",,
="0:42:52:96",,,"三笘薫","枠内シュート",,
="0:42:54:44","得点",,"森海渡","枠内シュート",,
="0:42:57:76","ポゼッションエンド",,,,,
="0:42:57:76","筑波大学",,,,,
="0:43:39:04","ポゼッションスタート",,,,,
="0:43:39:04","相手チーム",,,,,
="0:43:42:92",,,"井川空",,"ブロック",
="0:43:48:88","ポゼッションエンド",,,,,
="0:43:48:88","相手チーム",,,,,
="0:44:02:64","相手チーム","スローイン",,,,
="0:44:07:08",,,"山川哲史",,"ブロック",
="0:44:13:60",,,"高嶺朋樹",,,"ファール"
="0:44:57:36","相手チーム","FK",,,,
="0:45:06:32",,,"森海渡",,"クリア",
="0:45:09:16",,,"渡邊陽",,"シュートブロック",
