"時間","default","セットプレー","選手名","攻撃","守備","反則"
="0:08:22:72",,,"池谷祐輔","ボールロスト",,
="0:08:53:12","相手チーム","GK",,,,
="0:08:58:68","ポゼッションスタート",,,,,
="0:08:58:68","筑波大学",,,,,
="0:08:59:36",,,"高嶺朋樹","パス",,
="0:09:00:56",,,"渡邊陽","パス",,
="0:09:01:44",,,"池谷祐輔","パス",,
="0:09:05:08",,,"三笘薫","ドリブル",,
="0:09:07:96",,,"三笘薫","パス",,
="0:09:09:68",,,"森海渡","枠内シュート",,
="0:09:14:96","ポゼッションエンド",,,,,
="0:09:14:96","筑波大学",,,,,
="0:09:21:84",,"スローイン","井川空",,,
="0:09:31:84","ポゼッションスタート",,,,,
="0:09:31:84","筑波大学",,,,,
="0:09:32:40",,,"高嶺朋樹","パス",,
="0:09:38:52",,,"山川哲史","パス",,
="0:09:43:48",,,"角田涼太郎","パス",,
="0:09:43:48",,,,"ボールロスト",,
="0:09:46:36","ポゼッションエンド",,,,,
="0:09:46:36","筑波大学",,,,,
="0:09:47:80","ポゼッションスタート",,,,,
="0:09:47:80","相手チーム",,,,,
="0:09:54:64","ポゼッションエンド",,,,,
="0:09:54:64","相手チーム",,,,,
="0:10:01:96",,"スローイン","山原怜音",,,
="0:10:03:96","ポゼッションスタート",,,,,
="0:10:03:96","筑波大学",,,,,
="0:10:05:88",,,"角田涼太郎","パス",,
="0:10:08:96",,,"山川哲史","パス",,
="0:10:10:52",,,"加藤匠人","パス",,
="0:10:11:60",,,"高嶺朋樹","パス",,
="0:10:14:08",,,"加藤匠人","パス",,
="0:10:15:72",,,"渡邊陽","パス",,
="0:10:19:08",,,"山原怜音","ドリブル",,
="0:10:22:28",,,"山原怜音","ボールロスト",,
="0:10:22:28",,,,"クロス",,
="0:10:25:04","ポゼッションエンド",,,,,
="0:10:25:04","筑波大学",,,,,
="0:10:41:60","相手チーム","スローイン",,,,
="0:10:43:60","ポゼッションスタート",,,,,
="0:10:43:60","相手チーム",,,,,
="0:10:47:92",,,"高嶺朋樹","パス",,
="0:10:48:20","ポゼッションエンド",,,,,
="0:10:48:20","相手チーム",,,,,
="0:10:49:36",,,"角田涼太郎","パス",,
="0:10:49:52","ポゼッションスタート",,,,,
="0:10:49:52","筑波大学",,,,,
="0:10:56:76",,,"山原怜音","パス",,
="0:10:58:76",,,"高嶺朋樹","パス",,
="0:11:01:52",,,"山原怜音","パス",,
="0:11:04:00",,,"角田涼太郎","パス",,
="0:11:05:04",,,"渡邊陽","パス",,
="0:11:07:36",,,"角田涼太郎","パス",,
="0:11:08:44",,,"高嶺朋樹","パス",,
="0:11:10:48",,,"角田涼太郎","パス",,
="0:11:12:76",,,"山川哲史","パス",,
="0:11:12:76",,,,"ボールロスト",,
="0:11:18:60","ポゼッションエンド",,,,,
="0:11:18:60","筑波大学",,,,,
="0:11:42:64","相手チーム","GK",,,,
="0:11:44:08","ポゼッションスタート",,,,,
="0:11:44:08","相手チーム",,,,,
="0:11:50:52","ポゼッションエンド",,,,,
="0:11:50:52","相手チーム",,,,,
="0:11:51:72",,,"阿部航斗","パス",,
="0:11:54:32","ポゼッションスタート",,,,,
="0:11:54:32","筑波大学",,,,,
="0:11:57:44",,,"角田涼太郎","パス",,
="0:12:00:12",,,"山原怜音","パス",,
="0:12:02:00","相手チーム",,,,,"ファール"
="0:12:06:32","ポゼッションエンド",,,,,
="0:12:06:32","筑波大学",,,,,
="0:12:09:32",,"FK","角田涼太郎",,,
="0:12:10:60","ポゼッションスタート",,,,,
="0:12:10:60","筑波大学",,,,,
="0:12:10:84",,,"阿部航斗","パス",,
="0:12:13:80",,,"山川哲史","パス",,
="0:12:17:64",,,"角田涼太郎","パス",,
="0:12:19:08",,,"森海渡",,,"オフサイド"
="0:12:23:64","ポゼッションエンド",,,,,
="0:12:23:64","筑波大学",,,,,
="0:12:48:92","相手チーム","FK",,,,
="0:12:52:72","ポゼッションスタート",,,,,
="0:12:52:72","相手チーム",,,,,
="0:12:56:44",,,"山川哲史",,"カット",
="0:12:58:76","ポゼッションエンド",,,,,
="0:12:58:76","相手チーム",,,,,
="0:13:01:48",,"GK","阿部航斗",,,
="0:13:06:88","ポゼッションスタート",,,,,
="0:13:06:88","筑波大学",,,,,
="0:13:08:76",,,"山原怜音","パス",,
="0:13:12:80",,,"阿部航斗","パス",,
="0:13:19:72",,,"高嶺朋樹","パス",,
="0:13:23:44",,,"角田涼太郎","パス",,
="0:13:26:44",,,"三笘薫","パス",,
="0:13:27:88",,,"森海渡","ボールロスト",,
="0:13:31:04","ポゼッションエンド",,,,,
="0:13:31:04","筑波大学",,,,,
="0:13:32:16",,,"角田涼太郎",,"カット",
="0:13:32:32","ポゼッションスタート",,,,,
="0:13:32:32","相手チーム",,,,,
="0:13:36:52",,,"角田涼太郎","パス",,
="0:13:36:76","ポゼッションエンド",,,,,
="0:13:36:76","相手チーム",,,,,
="0:13:48:08",,"スローイン","山原怜音",,,
="0:13:51:00",,,"角田涼太郎","パス",,
="0:13:53:32","ポゼッションスタート",,,,,
="0:13:53:32","筑波大学",,,,,
="0:13:56:40",,,"山川哲史","パス",,
="0:14:01:80",,,"加藤匠人","パス",,
="0:14:02:64",,,"渡邊陽","ボールロスト",,
="0:14:05:36","ポゼッションエンド",,,,,
="0:14:05:36","筑波大学",,,,,
="0:14:05:52",,,"山川哲史",,"ブロック",
="0:14:09:40","ポゼッションスタート",,,,,
="0:14:09:40","筑波大学",,,,,
="0:14:10:08",,,"井川空","パス",,
="0:14:12:40",,,"角田涼太郎","パス",,
="0:14:17:56",,,"山原怜音","パス",,
="0:14:18:08",,,"森海渡","ボールロスト",,
="0:14:20:92","ポゼッションエンド",,,,,
="0:14:20:92","筑波大学",,,,,
="0:14:26:28",,"スローイン","山原怜音",,,
="0:14:28:04","ポゼッションスタート",,,,,
="0:14:28:04","筑波大学",,,,,
="0:14:29:64",,,"渡邊陽","パス",,
="0:14:30:28",,,"高嶺朋樹","パス",,
="0:14:31:88",,,"渡邊陽","パス",,
="0:14:34:96",,,"角田涼太郎","パス",,
="0:14:37:48",,,"渡邊陽","パス",,
="0:14:40:76",,,"井川空","ボールロスト",,
="0:14:41:48","ポゼッションエンド",,,,,
="0:14:41:48","筑波大学",,,,,
="0:14:43:00","ポゼッションスタート",,,,,
="0:14:43:00","相手チーム",,,,,
="0:14:46:04","ポゼッションエンド",,,,,
="0:14:46:04","相手チーム",,,,,
="0:14:47:96",,"スローイン","井川空",,,
="0:14:49:72",,,"池谷祐輔","パス",,
="0:14:50:08","ポゼッションスタート",,,,,
="0:14:50:08","筑波大学",,,,,
="0:14:52:40",,,"高嶺朋樹","パス",,
="0:14:55:72",,,"山川哲史","パス",,
="0:14:59:08",,,"角田涼太郎","パス",,
="0:15:01:64",,,"三笘薫","ボールロスト",,
="0:15:03:20","ポゼッションエンド",,,,,
="0:15:03:20","筑波大学",,,,,
="0:15:15:12","相手チーム","スローイン",,,,
="0:15:15:68","ポゼッションスタート",,,,,
="0:15:15:68","相手チーム",,,,,
="0:15:23:36","ポゼッションエンド",,,,,
="0:15:23:36","相手チーム",,,,,
="0:15:28:16",,"GK","阿部航斗",,,
="0:15:29:04","ポゼッションスタート",,,,,
="0:15:29:04","筑波大学",,,,,
="0:15:33:00",,,"山川哲史","パス",,
="0:15:38:16",,,"高嶺朋樹","パス",,
="0:15:43:00",,,"角田涼太郎","パス",,
="0:15:44:96",,,"池谷祐輔","パス",,
="0:15:46:48",,,"三笘薫","パス",,
="0:15:46:48",,,,"ボールロスト",,
="0:15:50:76",,,"阿部航斗","パス",,
="0:15:54:12",,,"渡邊陽","パス",,
="0:15:56:88",,,"山川哲史","パス",,
="0:15:56:88",,,,"ボールロスト",,
="0:16:00:00","ポゼッションエンド",,,,,
="0:16:00:00","筑波大学",,,,,
="0:16:06:04","相手チーム","スローイン",,,,
="0:16:10:24",,,"山川哲史",,"クリア",
="0:16:15:80","ポゼッションスタート",,,,,
="0:16:15:80","筑波大学",,,,,
="0:16:16:40",,,"池谷祐輔","パス",,
="0:16:17:96",,,"加藤匠人","パス",,
="0:16:22:88",,,"池谷祐輔","パス",,
="0:16:24:48",,,"井川空","クロス",,
="0:16:27:12","ポゼッションエンド",,,,,
="0:16:27:12","筑波大学",,,,,
="0:16:30:44","ポゼッションスタート",,,,,
="0:16:30:44","筑波大学",,,,,
="0:16:31:72",,,"山原怜音","パス",,
="0:16:32:04",,,"三笘薫","ドリブル",,
="0:16:36:72","ポゼッションエンド",,,,,
="0:16:36:72","筑波大学",,,,,
="0:17:01:08","相手チーム","FK",,,,
="0:17:09:52","ポゼッションスタート",,,,,
="0:17:09:52","筑波大学",,,,,
="0:17:12:04",,,"加藤匠人",,,"ファール"
="0:17:17:16","ポゼッションエンド",,,,,
="0:17:17:16","筑波大学",,,,,
="0:17:50:28","相手チーム","FK",,,,
="0:17:53:08","相手チーム",,,"枠外シュート",,
="0:18:02:96",,"GK","阿部航斗",,,
="0:18:03:64","ポゼッションスタート",,,,,
="0:18:03:64","筑波大学",,,,,
="0:18:06:20",,,"山川哲史","パス",,
="0:18:10:36",,,"高嶺朋樹","パス",,
="0:18:13:48",,,"角田涼太郎","パス",,
="0:18:15:36",,,"山原怜音","パス",,
="0:18:17:64",,,"三笘薫","ドリブル",,
="0:18:24:96","ポゼッションエンド",,,,,
="0:18:24:96","筑波大学",,,,,
="0:19:17:00","相手チーム","スローイン",,,,
="0:19:31:96",,"GK","阿部航斗",,,
="0:19:33:24","ポゼッションスタート",,,,,
="0:19:33:24","筑波大学",,,,,
="0:19:37:16",,,"角田涼太郎","パス",,
="0:19:39:12",,,"渡邊陽","パス",,
="0:19:41:08",,,"山原怜音","パス",,
="0:19:43:96",,,"池谷祐輔","パス",,
="0:19:45:76",,,"渡邊陽","パス",,
="0:19:47:96",,,"池谷祐輔","パス",,
="0:19:48:64",,,"森海渡","パス",,
="0:19:49:56",,,"池谷祐輔","パス",,
="0:19:49:56",,,,"ボールロスト",,
="0:19:52:40","ポゼッションエンド",,,,,
="0:19:52:40","筑波大学",,,,,
="0:20:12:04","ポゼッションスタート",,,,,
="0:20:12:04","相手チーム",,,,,
="0:20:15:16",,,"井川空",,"ブロック",
="0:20:17:48","ポゼッションエンド",,,,,
="0:20:17:48","相手チーム",,,,,
="0:20:22:56","相手チーム","スローイン",,,,
="0:20:23:60","ポゼッションスタート",,,,,
="0:20:23:60","相手チーム",,,,,
="0:20:30:56","ポゼッションエンド",,,,,
="0:20:30:56","相手チーム",,,,,
="0:20:31:12",,,"阿部航斗","パス",,
="0:20:35:56","ポゼッションスタート",,,,,
="0:20:35:56","筑波大学",,,,,
="0:20:37:28",,,"山原怜音","パス",,
="0:20:40:96",,,"角田涼太郎","パス",,
="0:20:43:72",,,"高嶺朋樹","パス",,
="0:20:46:36",,,"渡邊陽","パス",,
="0:20:49:32",,,"三笘薫","パス",,
="0:20:52:36",,,"山原怜音","クロス",,
="0:20:54:56","ポゼッションエンド",,,,,
="0:20:54:56","筑波大学",,,,,
="0:20:59:28",,,"三笘薫","パス",,
="0:21:01:52",,,"山原怜音","枠内シュート",,
="0:21:47:36",,"CK","山原怜音",,,
="0:21:51:48","ポゼッションスタート",,,,,
="0:21:51:48","相手チーム",,,,,
="0:22:07:12","ポゼッションエンド",,,,,
="0:22:07:12","相手チーム",,,,,
="0:22:09:00",,,"高嶺朋樹","パス",,
="0:22:10:92","ポゼッションスタート",,,,,
="0:22:10:92","筑波大学",,,,,
="0:22:14:12",,,"山原怜音","パス",,
="0:22:15:28",,,"三笘薫","パス",,
